Jogador: Antonio         Time: Liverpool
Jogador: Enzo            Time: Milan
Jogador: Ricardo         Time: ManUnited
Jogador: Thiago          Time: Borussia
Jogador: Dalca           Time: Benfica
Jogador: Drauzio         Time: Juventus
Jogador: Paulo           Time: Arsenal
Jogador: Taua            Time: RealMadrid
Jogador: Alvaro          Time: ManCity
Jogador: Cayon           Time: Ajax
Jogador: Cruxen          Time: Bayern
Jogador: Vithor          Time: InterMilao
Jogador: Luis            Time: Barcelona
Jogador: Lucas           Time: PSG
Jogador: Luciano         Time: Sevilla
Jogador: PedroBrito      Time: AtleticoDeMadrid
